#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-14T17:12:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-14T17:12:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-out.src=VII/192/arpord,VII/192/arplist&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=VII/192/arpord VII/192/arplist&-out=Arp&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Size&-out=Orient&-out=fl_245&-out=fl_ST6&-out=fl_ST5&-out=APG&-out=Simbad&-out=NED&-out=VT&-out=u_VT&-out=dim1&-out=dim2&-out=u_dim2&-out=MType&-out=Uchart&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7192
#Name: VII/192
#Title: Arp's Peculiar Galaxies (Webb 1996)
#INFO	ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	creator=Webb D.	    First author or institution
#INFO	cites=bibcode:1996S&T....92...92W	    Article or Data origin sources
#INFO	journal=S&T	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/192	    Dataset landing page
#INFO	publication_date=2017-10-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_192_arpord:
#Name: VII/192/arpord
#Title: list of Arp views with imaging data
#Column	Arp	(I3)	Arp number from original catalog	[ucd=meta.id;meta.main]
#Column	Name	(a17)	Common name (group or brightest)	[ucd=meta.id]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A8)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Size	(F4.1)	Long dimension of Arp's original photo	[ucd=phys.angSize]
#Column	Orient	(A1)	[N,S,E,W,?] Orientation of Arp photo	[ucd=meta.note]
#Column	fl_245	(I3)	?Focal length for CB245 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST6	(I3)	?Focal length for SBIG ST6 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST5	(I3)	?Focal length for SBIG ST5 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	APG	(A3)	Values from the original Arp's catalog of Peculiar Galaxies (Arp 1966, Cat. VII/74)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
Arp|Name|RAJ2000|DEJ2000|Size|Orient|fl_245|fl_ST6|fl_ST5|APG|Simbad|NED
220|IC 4553          |15 34 57|+23 30.3| 2.6|S|336|448|168|APG|Simbad|NED
221|MCG-02-25-006    |09 36 24|-11 19.7| 2.6|N|336|448|168|APG|Simbad|NED
222|NGC 7727         |23 39 54|-12 17.5|10.4|N| 84|112| 42|APG|Simbad|NED
223|NGC 7585         |23 18 02|-04 38.9| 3.5|E|252|336|126|APG|Simbad|NED
224|NGC 3921         |11 51 07|+55 04.7| 5.2|S|168|224| 84|APG|Simbad|NED
225|NGC 2655         |08 55 39|+78 13.5|10.4|W| 84|112| 42|APG|Simbad|NED
226|NGC 7252         |22 20 45|-24 40.7|10.4|N| 84|112| 42|APG|Simbad|NED
227|NGC 0474         |01 20 07|+03 25.0|10.4|E| 84|112| 42|APG|Simbad|NED
228|IC 0162          |01 48 53|+10 31.3| 2.6|N|336|448|168|APG|Simbad|NED
229|NGC 0508 + 07    |01 23 41|+33 16.8|10.4|E| 84|112| 42|APG|Simbad|NED
230|IC 0051          |00 46 24|-13 26.5| 3.5|N|252|336|126|APG|Simbad|NED
231|IC 1575          |00 43 34|-04 07.1| 5.2|S|168|224| 84|APG|Simbad|NED
232|NGC 2911         |09 33 47|+10 09.1| 2.1|W|420|560|210|APG|Simbad|NED
233|UGC 05720        |10 32 32|+54 24.0| 2.6|W|336|448|168|APG|Simbad|NED
234|NGC 3738         |11 35 49|+54 31.5| 3.5|E|252|336|126|APG|Simbad|NED
235|NGC 0014         |00 08 46|+15 48.9| 3.5|N|252|336|126|APG|Simbad|NED
236|IC 1623          |01 07 47|-17 30.4| 5.2|E|168|224| 84|APG|Simbad|NED
237|UGC 05044        |09 27 44|+12 17.2| 2.6|S|336|448|168|APG|Simbad|NED
238|UGC 08335        |13 15 29|+62 07.7| 2.6|W|336|448|168|APG|Simbad|NED
239|NGC 5278 + 79    |13 41 40|+55 40.1| 4.2|E|210|280|105|APG|Simbad|NED
240|NGC 5257 + 58    |13 39 53|+00 50.4| 4.2|E|210|280|105|APG|Simbad|NED
241|UGC 09425        |14 37 51|+30 28.9| 2.1|N|420|560|210|APG|Simbad|NED
242|NGC 4676A + B    |12 46 10|+30 44.0| 5.2|N|168|224| 84|APG|Simbad|NED
243|NGC 2623         |08 38 24|+25 45.3| 2.6|W|336|448|168|APG|Simbad|NED
244|NGC 4038 + 39    |12 01 53|-18 51.9|20.8|E| 42| 56| 21|APG|Simbad|NED
245|NGC 2992 + 93    |09 45 42|-14 19.6|10.4|N| 84|112| 42|APG|Simbad|NED
246|NGC 7838         |00 06 54|+08 21.0| 2.1|E|420|560|210|APG|Simbad|NED
247|IC 2338 + 39     |08 23 32|+21 20.3| 2.6|S|336|448|168|APG|Simbad|NED
248|Wild's Triplet   |11 46 45|-03 50.8| 5.2|W|168|224| 84|APG|Simbad|NED
249|UGC 12891        |00 00 19|+22 59.4| 2.1|N|420|560|210|APG|Simbad|NED
250|IRAS F07327+3529 |07 36 00|+35 22.5| 2.1|E|420|560|210|APG|Simbad|NED
251|VV 674           |00 53 47|-13 51.7| 2.1|S|420|560|210|APG|Simbad|NED
252|ESO 566-IG007    |09 44 58|-19 43.5| 2.6|S|336|448|168|APG|Simbad|NED
253|UGCA 173 + 174   |09 43 25|-05 16.8| 3.5|E|252|336|126|APG|Simbad|NED
254|NGC 5917         |15 21 32|-07 22.6|10.4|S| 84|112| 42|APG|Simbad|NED
255|UGC 05304        |09 53 09|+07 52.8| 2.6|N|336|448|168|APG|Simbad|NED
256|MCG-02-01-52     |00 18 50|-10 21.7| 2.6|W|336|448|168|APG|Simbad|NED
257|UGC 04638        |08 51 38|-02 22.0| 2.6|W|336|448|168|APG|Simbad|NED
258|UGC 02140        |02 39 05|+18 23.6| 3.5|S|252|336|126|APG|Simbad|NED
259|NGC 1741         |05 01 38|-04 15.5| 3.5|W|252|336|126|APG|Simbad|NED
260|UGC 07230        |12 13 39|+16 07.3| 2.6|N|336|448|168|APG|Simbad|NED
261|MCG-02-38-016    |14 49 31|-10 10.4|10.4|N| 84|112| 42|APG|Simbad|NED
262|UGC 12856        |23 56 45|+16 48.7| 2.6|N|336|448|168|APG|Simbad|NED
263|NGC 3239         |10 25 05|+17 09.6| 5.2|S|168|224| 84|APG|Simbad|NED
264|NGC 3104         |10 03 58|+40 45.4| 3.5|E|252|336|126|APG|Simbad|NED
265|IC 3862          |12 53 53|+36 05.2| 2.1|N|420|560|210|APG|Simbad|NED
266|NGC 4861         |12 59 02|+34 51.6| 3.5|N|252|336|126|APG|Simbad|NED
267|UGC 05764        |10 36 43|+31 32.8| 2.6|S|336|448|168|APG|Simbad|NED
268|Holmberg II      |08 19 06|+70 42.8|10.4|S| 84|112| 42|APG|Simbad|NED
269|NGC 4490 + 85    |12 30 37|+41 38.4|10.4|N| 84|112| 42|APG|Simbad|NED
270|NGC 3395 + 96    |10 49 50|+32 58.8| 3.5|E|252|336|126|APG|Simbad|NED
271|NGC 5426 + 27    |14 03 25|-06 04.2| 5.2|S|168|224| 84|APG|Simbad|NED
272|NGC 6054         |16 05 31|+17 46.1| 2.1|W|420|560|210|APG|Simbad|NED
273|UGC 01810 + 13   |02 21 29|+39 22.5| 3.5|E|252|336|126|APG|Simbad|NED
274|NGC 5679A +B+C   |14 35 06|+05 20.9| 2.6|E|336|448|168|APG|Simbad|NED
275|NGC 2881         |09 25 55|-11 59.0| 2.1|W|420|560|210|APG|Simbad|NED
276|NGC 0935+IC1801  |02 28 11|+19 36.0| 2.6|S|336|448|168|APG|Simbad|NED
277|NGC 4809 + 10    |12 54 51|+02 39.2| 2.1|E|420|560|210|APG|Simbad|NED
278|NGC 7253A + B    |22 19 26|+29 23.9| 2.6|E|336|448|168|APG|Simbad|NED
279|NGC 1253 + A     |03 14 09|-02 49.4|10.4|E| 84|112| 42|APG|Simbad|NED
280|NGC 3769 + A     |11 37 44|+47 53.5| 3.5|S|252|336|126|APG|Simbad|NED
281|NGC 4631 + 27    |12 42 06|+32 32.4|21.8|E| 40| 54| 20|APG|Simbad|NED
282|NGC 0169         |00 36 52|+23 59.5| 3.5|W|252|336|126|APG|Simbad|NED
283|NGC 2798 + 99    |09 17 23|+42 00.0| 3.5|S|252|336|126|APG|Simbad|NED
284|NGC 7714 + 15    |23 36 14|+02 09.3| 5.2|E|168|224| 84|APG|Simbad|NED
285|NGC 2854 + 56    |09 24 03|+49 12.2| 5.2|W|168|224| 84|APG|Simbad|NED
286|NGC 5566 +60+69  |14 20 20|+03 56.0|10.4|W| 84|112| 42|APG|Simbad|NED
287|NGC 2735 + A     |09 02 38|+25 56.1| 2.6|N|336|448|168|APG|Simbad|NED
288|NGC 5221 + 22    |13 34 56|+13 49.9|10.4|N| 84|112| 42|APG|Simbad|NED
289|NGC 3981         |11 56 07|-19 53.7|10.4|N| 84|112| 42|APG|Simbad|NED
290|IC 0195 + 196    |02 03 44|+14 42.5| 3.5|N|252|336|126|APG|Simbad|NED
291|UGC 05832        |10 42 49|+13 27.6| 2.6|E|336|448|168|APG|Simbad|NED
292|IC 0575          |09 54 33|-06 51.4| 2.6|S|336|448|168|APG|Simbad|NED
293|NGC 6286         |16 58 31|+58 56.2| 3.5|N|252|336|126|APG|Simbad|NED
294|NGC 3786 + 88    |11 39 43|+31 54.5|10.4|W| 84|112| 42|APG|Simbad|NED
295|MCG-01-60-021    |23 41 48|-03 40.6|10.4|N| 84|112| 42|APG|Simbad|NED
296|MCG+10-17-5      |11 28 20|+58 32.5| 3.5|S|252|336|126|APG|Simbad|NED
297|NGC 5754 + 55    |14 45 20|+38 43.9|10.4|W| 84|112| 42|APG|Simbad|NED
298|NGC 7469         |23 03 16|+08 52.4| 3.5|N|252|336|126|APG|Simbad|NED
299|NGC 3690         |11 28 34|+58 33.8| 3.5|S|252|336|126|APG|Simbad|NED
300|UGC 05029        |09 28 02|+68 25.3| 3.5|W|252|336|126|APG|Simbad|NED
301|UGC 06204        |11 09 52|+24 15.7| 2.6|E|336|448|168|APG|Simbad|NED
302|UGC 09618        |14 57 01|+24 37.0| 2.6|N|336|448|168|APG|Simbad|NED
303|IC 0563 + 64     |09 46 20|+03 02.7| 3.5|S|252|336|126|APG|Simbad|NED
304|NGC 1241 + 42    |03 11 15|-08 55.3| 3.5|E|252|336|126|APG|Simbad|NED
305|NGC 4016 + 17    |11 58 29|+27 31.7|10.4|N| 84|112| 42|APG|Simbad|NED
306|UGC 01102        |01 32 29|+04 35.7| 5.2|E|168|224| 84|APG|Simbad|NED
307|NGC 2872 + 74    |09 25 43|+11 25.9| 3.5|N|252|336|126|APG|Simbad|NED
308|NGC 0545 + 47    |01 25 59|-01 20.4| 2.6|W|336|448|168|APG|Simbad|NED
309|NGC 0942 + 43    |02 29 10|-10 50.2| 3.5|N|252|336|126|APG|Simbad|NED
310|IC 1259          |17 27 25|+58 31.0| 2.1|W|420|560|210|APG|Simbad|NED
311|IC 1259 Field    |17 27 17|+58 29.1| 5.2|E|168|224| 84|APG|Simbad|NED
312|MCG+08-31-004    |16 49 49|+46 43.1| 2.6|W|336|448|168|APG|Simbad|NED
313|NGC 3994 + 95    |11 57 37|+32 16.6|10.4|W| 84|112| 42|APG|Simbad|NED
314|MCG-03-58-009    |22 58 01|-03 46.1|10.4|E| 84|112| 42|APG|Simbad|NED
315|NGC 2832         |09 19 47|+33 45.0| 2.6|W|336|448|168|APG|Simbad|NED
316|NGC 3193         |10 18 25|+21 53.6|16.2|W| 54| 72| 27|APG|Simbad|NED
317|MESSIER 65 + 66  |11 18 55|+13 05.6|62.4|S| 14| 18|  7|APG|Simbad|NED
318|NGC 0833 Group   |02 09 20|-10 08.0|10.4|E| 84|112| 42|APG|Simbad|NED
319|Stephan's Quint  |22 35 57|+33 57.9|10.4|E| 84|112| 42|APG|Simbad|NED
320|NGC 3750         |11 37 52|+21 58.4| 5.2|N|168|224| 84|APG|Simbad|NED
321|MCG-01-25-009    |09 38 53|-04 51.6| 2.6|N|336|448|168|APG|Simbad|NED
322|UGC 06527        |11 32 40|+52 57.0| 2.6|E|336|448|168|APG|Simbad|NED
323|NGC 7783         |23 54 10|+00 23.0| 3.5|S|252|336|126|APG|Simbad|NED
324|UGC 10143        |16 02 13|+15 54.4|12.8|S| 68| 90| 34|APG|Simbad|NED
325|ESO 601-G018     |22 06 24|-21 04.7| 2.1|N|420|560|210|APG|Simbad|NED
326|UGC 08610        |13 37 19|+06 28.7|10.4|N| 84|112| 42|APG|Simbad|NED
327|NGC 1875         |05 21 46|+06 41.3| 2.6|E|336|448|168|APG|Simbad|NED
328|UGC 09532        |14 47 56|+19 03.4| 5.2|N|168|224| 84|APG|Simbad|NED
329|UGC 06514        |11 32 07|+70 48.9| 2.6|N|336|448|168|APG|Simbad|NED
330|I Zw 167         |16 49 08|+53 25.9|10.4|N| 84|112| 42|APG|Simbad|NED
331|Pisces Cloud     |01 07 25|+32 24.7|20.8|N| 42| 56| 21|APG|Simbad|NED
332|IC 1892          |03 08 28|-23 03.1|20.8|N| 42| 56| 21|APG|Simbad|NED
333|NGC 1024         |02 39 12|+10 50.8| 5.2|S|168|224| 84|APG|Simbad|NED
334|UGC 08498        |13 30 26|+31 37.2| 3.5|S|252|336|126|APG|Simbad|NED
335|NGC 3509         |11 04 24|+04 49.8| 2.6|E|336|448|168|APG|Simbad|NED
336|NGC 2685         |08 55 35|+58 44.0| 6.9|S|126|168| 63|APG|Simbad|NED
337|MESSIER 82       |09 55 52|+69 40.8|10.4|E| 84|112| 42|APG|Simbad|NED
338|Arp 338          |10 10 59|-07 54.9| 2.1|S|420|560|210|APG|Simbad|NED

#Table	VII_192_arplist:
#Name: VII/192/arplist
#Title: list and info for involved galaxies
#Column	Arp	(I3)	Arp number from original catalog	[ucd=meta.id;meta.main]
#Column	Name	(a16)	Common name of galaxy	[ucd=meta.id]
#Column	VT	(F4.1)	?Total V-magnitude	[ucd=phot.mag;em.opt]
#Column	u_VT	(A1)	[?] Uncertain magnitude = ?	[ucd=meta.code.error]
#Column	dim1	(F4.1)	?Larger dimension of galaxy	[ucd=phys.size]
#Column	dim2	(F4.1)	?Smaller dimension (if differs from dim1)	[ucd=phys.size]
#Column	u_dim2	(A1)	[?] Uncertain size = ?	[ucd=meta.code.error]
#Column	MType	(a14)	Morphological Type	[ucd=src.morph.type]
#Column	Uchart	(I3)	?Uranometria chart number	[ucd=obs.field]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
Arp|Name|VT|u_VT|dim1|dim2|u_dim2|MType|Uchart|RAJ2000|DEJ2000|Simbad|NED
 | |mag| |arcmin|arcmin| | | |"h:m:s"|"d:m:s"| |
---|----------------|----|-|----|----|-|--------------|---|----------|---------|------|---
249|UGC 12891       |16.2| |    |    | |              |   |00 00 19.3|+22 59 26|Simbad|NED
249|UGC 12891       |16.2| | 1.3| 0.5| |              |   |00 00 21.6|+22 59 42|Simbad|NED
112|NGC 7805        |13.3| | 1.2| 0.9| |SAB0^0: pec   | 89|00 01 26.9|+31 26 02|Simbad|NED
112|NGC 7806        |13.5| | 1.1| 0.8| |SA(rs)bc? pec | 89|00 01 30.2|+31 26 33|Simbad|NED
130|IC 5378         |15.6| | 0.5|    | |SBc           |   |00 02 37.7|+16 39 08|Simbad|NED
130|IC 5378         |15.3| |    |    | |E             |   |00 02 37.8|+16 38 37|Simbad|NED
 51|MGC-02-01-24    |15.0| | 0.8|    | |              |   |00 06 16.8|-13 26 53|Simbad|NED
144|NGC 7828        |14.4| | 0.9| 0.5| |Ring A        |260|00 06 27.1|-13 24 58|Simbad|NED
144|NGC 7829        |14.6| | 0.7|    | |Ring B pec    |260|00 06 29.0|-13 25 15|Simbad|NED
146|ARP 146         |    | | 0.7| 0.6| |Ring A        |   |00 06 44.0|-06 38 07|Simbad|NED
146|VV 790          |    | |    |    | |Pec           |   |00 06 44.4|-06 38 10|Simbad|NED
146|ARP 146         |    | | 0.7| 0.6| |Ring A        |   |00 06 44.8|-06 38 14|Simbad|NED
246|NGC 7837        |14.4| | 0.4| 0.2| |              |170|00 06 51.4|+08 21 05|Simbad|NED
246|NGC 7838        |14.3| | 0.7| 0.3| |              |170|00 06 53.7|+08 21 00|Simbad|NED
235|NGC 0014        |12.7| | 2.8| 2.1| |(R)IB(S)m pec |170|00 08 46.2|+15 48 56|Simbad|NED
113|NGC 0070        |14.5| | 1.4| 1.2| |SA(rs)c III   | 89|00 18 22.4|+30 04 50|Simbad|NED
256|MCG-02-01-52    |13.6| | 1.1| 0.8| |SB(S)c pec    |   |00 18 50.0|-10 21 42|Simbad|NED
256|MCG-02-01-51    |14.8| | 1.1| 0.6| |SB(S)c pec    |   |00 18 50.9|-10 22 37|Simbad|NED
256|VV 352          |    | |    |    | |              |   |00 18 51.4|-10 22 33|Simbad|NED
 65|NGC 0091        |13.7| | 2.2|    | |SAB(S)c pec I |126|00 21 51.7|+22 24 01|Simbad|NED
 35|UGC 00212       |15.5| |    |    | |SP            |   |00 22 21.4|-01 20 47|Simbad|NED
 35|UGC 00212       |15.0| | 1.5| 0.7| |SB            |   |00 22 23.0|-01 18 13|Simbad|NED
201|UGC 00224       |16.0| | 0.5| 0.3| |Disrupted     |   |00 23 33.7|-00 29 22|Simbad|NED
201|UGC 00224       |16.0| |    |    | |              |   |00 23 37.7|-00 30 35|Simbad|NED
100|IC 0018         |15.0| | 1.5| 0.8| |              |   |00 28 38.1|-11 34 25|Simbad|NED
100|IC 0019         |15.0| | 0.8| 0.5| |              |   |00 28 39.5|-11 38 27|Simbad|NED
 19|NGC 0145        |13.2| | 1.8| 1.3| |SB(s)dm       |216|00 31 45.0|-05 09 12|Simbad|NED
282|NGC 0169        |12.4| | 2.7| 0.7| |SA(s)ab: sp   |126|00 36 52.0|+23 59 30|Simbad|NED
282|IC 1559         |14.0| | 0.8| 0.5| |SAB pec:      |126|00 36 52.2|+23 59 04|Simbad|NED
127|NGC 0191        |12.5| | 1.5| 1.2| |SAB(rs)C:pec  |261|00 38 59.2|-09 00 07|Simbad|NED
127|IC 1563         |14.2| | 0.7| 0.4| |I 0           |   |00 39 00.1|-09 00 52|Simbad|NED
168|MESSIER 32      | 9.0| | 8.8| 6.5| |cE2           | 60|00 42 41.8|+40 51 52|Simbad|NED
231|IC 1575         |14.5| |    |    | |              |   |00 43 33.3|-04 07 05|Simbad|NED
230|IC 0051         |13.0| | 1.4| 1.2| |SO pec?       |261|00 46 24.2|-13 26 32|Simbad|NED
140|NGC 0274        |13.0| | 1.5|    | |SAB(r:)0^0^ p |261|00 51 01.7|-07 03 24|Simbad|NED
140|NGC 0275        |12.5| | 1.6| 1.1| |S pec         |261|00 51 04.6|-07 03 48|Simbad|NED
251|VV 674          |15.5| | 0.9| 0.4| |Triple        |   |00 53 46.9|-13 51 40|Simbad|NED
121|MCG-01-03-052   |14.5| | 0.9| 0.7| |Disrupted     |   |00 59 23.3|-04 48 50|Simbad|NED
121|MCG-01-03-051   |14.5| | 2.1| 0.6| |Sa pec sp     |   |00 59 23.5|-04 48 15|Simbad|NED
 59|NGC 0341A       |14.5| | 1.1|    | |SAB(r)bc II   |262|01 00 45.7|-09 11 08|Simbad|NED
 59|NGC 0341B       |14.7| | 0.3| 0.2| |              |262|01 00 47.6|-09 11 15|Simbad|NED
331|NGC 0379        |12.6| | 1.4| 0.8| |S0            | 91|01 07 15.7|+32 31 17|Simbad|NED
331|NGC 0380        |12.5| | 1.4| 1.2| |E2            | 91|01 07 18.0|+32 29 02|Simbad|NED
331|NGC 0382        |14.0| | 0.7|    | |E0            | 91|01 07 23.8|+32 24 13|Simbad|NED
331|NGC 0383        |11.9| | 1.6| 1.4| |SA0-          | 91|01 07 24.9|+32 24 45|Simbad|NED
331|NGC 0384        |13.0| | 1.1| 0.9| |E3            | 91|01 07 25.0|+32 17 34|Simbad|NED
331|NGC 0385        |12.9| | 1.1| 1.0| |LA-*          | 91|01 07 27.6|+32 19 16|Simbad|NED
331|NGC 0386        |14.1| | 0.9| 0.8| |E3            | 91|01 07 31.2|+32 21 44|Simbad|NED
331|NGC 0388        |14.3| | 0.9| 0.8| |E3            | 91|01 07 47.1|+32 18 36|Simbad|NED
236|IC 1623A        |14.3| | 0.5| 0.4| |S pec         |   |01 07 47.6|-17 30 24|Simbad|NED
236|IC 1623B        |15.5| | 0.7| 0.6| |              |   |01 07 49.6|-17 30 18|Simbad|NED
 11|UGC 00717       |14.4| | 1.5| 1.0| |SBb           |   |01 09 23.1|+14 20 12|Simbad|NED
164|NGC 0455        |12.6| | 2.0| 1.2| |S?            |172|01 15 57.2|+05 10 40|Simbad|NED
128|UGC 00827       |15.4| | 0.7| 0.2| |DBL SYS       |   |01 17 24.4|+14 41 48|Simbad|NED
128|UGC 00827       |16.8| |    |    | |              |   |01 17 29.3|+14 42 09|Simbad|NED
 88|VV 445          |    | |    |    | |Spiral        |   |01 19 05.6|+12 28 45|Simbad|NED
119|UGC 00849       |14.7| |    |    | |Sdm:          |   |01 19 24.1|+12 26 49|Simbad|NED
119|UGC 00849       |14.9| |    |    | |E?            |   |01 19 24.5|+12 27 43|Simbad|NED
227|NGC 0470        |11.9| | 2.8| 1.8| |SA(r)b pec II |217|01 19 45.5|+03 24 37|Simbad|NED
 48|CGCG 436-026    |15.7| |    |    | |Pair          |   |01 19 56.6|+12 20 44|Simbad|NED
227|NGC 0474        |11.5| | 7.1| 6.3| |(R')SAB0^0 pec|217|01 20 06.7|+03 25 01|Simbad|NED
 67|UGC 00892       |14.0| | 1.6| 1.5| |SB(r)ab       |   |01 21 16.8|-00 32 42|Simbad|NED
  8|NGC 0497        |13.0| | 2.1| 0.9| |SB(r)b I-II   |217|01 22 23.2|-00 52 29|Simbad|NED
 70|UGC 00934       |17.0| |    |    | |              |   |01 23 26.8|+30 46 20|Simbad|NED
 70|UGC 00934       |15.0| | 1.7| 0.6| |S?            |   |01 23 28.3|+30 47 05|Simbad|NED
229|NGC 0507        |14.1| | 3.1|    | |Sa(r)0^0      | 91|01 23 39.7|+33 15 23|Simbad|NED
229|NGC 0508        |13.5| | 1.3|    | |E0:           | 91|01 23 40.6|+33 16 51|Simbad|NED
157|NGC 0520        |11.5| | 4.5| 1.8| |S pec, Pair   |218|01 24 35.2|+03 47 37|Simbad|NED
158|NGC 0523        |13.5| | 2.5| 0.7| |Pec           | 91|01 25 19.6|+34 01 29|Simbad|NED
133|NGC 0541        |12.1| | 1.8| 1.8| |E0 or S0-     |218|01 25 44.2|-01 22 47|Simbad|NED
308|NGC 0545        |12.2| | 2.4| 1.6| |E+3           |218|01 25 59.2|-01 20 25|Simbad|NED
308|NGC 0547        |12.2| | 1.3|    | |E1            |218|01 26 00.6|-01 20 44|Simbad|NED
 98|UGC 01095       |16.0| | 1.1| 0.5| |              |   |01 32 08.5|+32 06 13|Simbad|NED
 98|UGC 01095       |15.0| | 0.3|    |?|S? C?         |   |01 32 16.8|+32 05 25|Simbad|NED
306|UGC 01102       |14.6| | 1.3| 1.1| |S?            |218|01 32 29.1|+04 35 45|Simbad|NED
306|UGC 01102       |    | |    |    | |condensation  |218|01 32 29.7|+04 35 24|Simbad|NED
306|UGC 01105       |14.5| | 0.9| 0.6| |Im            |   |01 32 41.8|+04 38 24|Simbad|NED
  4|MCG-02-05-50 +A |13.7| | 2.8| 2.4| |IAB(rs)m      |   |01 48 25.6|-12 22 55|Simbad|NED
228|IC 0162         |13.7| | 1.6|    | |S0 -conc rings|   |01 48 53.4|+10 31 18|Simbad|NED
 31|IC 0167         |13.6| | 2.9| 1.9| |SAB(s)c       |   |01 51 08.2|+21 54 51|Simbad|NED
 75|NGC 0702        |11.9| | 1.6| 1.2| |SAB(s)b: pec  |218|01 51 18.3|-04 03 21|Simbad|NED
 56|UGC 01432       |14.6| | 0.9| 0.6| |Sbc           |   |01 57 25.7|+17 13 03|Simbad|NED
166|NGC 0750        |12.9| | 1.7| 1.3| |E pec         | 92|01 57 32.4|+33 12 36|Simbad|NED
166|NGC 0751        |13.5| | 1.4|    | |E pec         | 92|01 57 32.6|+33 12 22|Simbad|NED
126|UGC 01449       |14.5| | 1.2| 0.7| |Pec?          |   |01 58 05.4|+03 06 05|Simbad|NED
126|UGC 01449       |13.9| | 0.4| 0.3| |SBm pec       |   |01 58 05.6|+03 05 06|Simbad|NED
 78|NGC 0770        |13.9| | 1.1| 0.7| |E3            |   |01 59 13.6|+18 57 16|Simbad|NED
 78|NGC 0772        |10.3| | 7.3| 4.3| |SA(s)b I +    |129|01 59 20.3|+19 00 22|Simbad|NED
290|IC 0195         |14.3| | 1.6| 0.8| |S0            |   |02 03 44.6|+14 42 31|Simbad|NED
290|IC 0196         |14.2| | 2.8| 1.4| |S0-           |   |02 03 50.0|+14 44 23|Simbad|NED
 74|UGC 01626       |14.1| | 1.6| 1.5| |(R')SA:pec    |   |02 08 21.3|+41 28 46|Simbad|NED
318|NGC 0833        |12.7| | 1.5| 0.7| |SAB(rs)c      |264|02 09 20.6|-10 07 59|Simbad|NED
318|NGC 0835        |12.1| | 1.3| 1.1| |SAB(r)ab:pec  |264|02 09 24.6|-10 08 09|Simbad|NED
318|NGC 0838        |13.4| | 1.2| 0.9| |SA?(rs)0^0:   |264|02 09 38.4|-10 08 48|Simbad|NED
318|NGC 0839        |13.1| | 1.5| 0.7| |I0? pec       |264|02 09 42.9|-10 11 02|Simbad|NED
 10|UGC 01775       |13.8| | 1.5| 1.5| |S?            |   |02 18 26.3|+05 39 14|Simbad|NED
273|UGC 01810       |13.7| | 2.2| 1.5| |S(b)          |   |02 21 28.7|+39 22 31|Simbad|NED
273|UGC 01813       |15.3| | 1.5| 0.4| |SB            |   |02 21 32.4|+39 21 23|Simbad|NED
145|ARP 145         |13.8| |    |    | |Ring B        |   |02 23 08.0|+41 22 12|Simbad|NED
145|UGC 01840       |18.8| | 1.6| 1.3| |Pec Loop      |   |02 23 08.4|+41 22 20|Simbad|NED
145|ARP 145         |17.8| |    |    | |Ring A        |   |02 23 11.4|+41 22 05|Simbad|NED
 54|PGC 9107        |17.1| | 0.5| 0.3| |              |   |02 23 59.1|-04 41 48|Simbad|NED
 54|MCG-01-07-007   |15.0| | 1.0| 0.6| |S? + PGC 9107 |   |02 24 01.8|-04 41 38|Simbad|NED
276|NGC 0935        |12.9| | 1.7| 1.1| |Scd:          |130|02 28 10.9|+19 35 59|Simbad|NED
